x,x,x*(x+1),x*(x+1)(x+2)/2,x*(x+1)(x+2)(x+3)/6
0.0,0.0,0.0,0.0,0.0
0.0001,0.0001,0.00010001,0.00010001500050000001,0.00010001833433335002
0.0002,0.0002,0.00020004000000000002,0.00020006000400000002,0.00020007334133360002
0.00030000000000000003,0.00030000000000000003,0.00030009000000000004,0.00030013501350000004,0.00030016502700135007
0.0004,0.0004,0.00040016,0.000400240032,0.00040029339733759997
0.0005,0.0005,0.0005002499999999999,0.0005003750625,0.0005004584583437501
0.0006000000000000001,0.0006000000000000001,0.00060036,0.000600540108,0.0006006602160216
0.0007,0.0007,0.0007004899999999999,0.0007007351714999999,0.0007008986763733499
0.0008,0.0008,0.0008006399999999999,0.0008009602559999999,0.0008011738454015999
0.0009000000000000001,0.0009000000000000001,0.00090081,0.0009012153645000001,0.0009014857291093501
0.001,0.001,0.001001,0.0010015005,0.0010018343335
0.0011,0.0011,0.0011012100000000003,0.0011018156655000003,0.0011022196645773504
0.0012000000000000001,0.0012000000000000001,0.0012014400000000002,0.001202160864,0.0012026417283456001
0.0013000000000000002,0.0013000000000000002,0.0013016900000000003,0.0013025360985000004,0.0013031005308093504
0.0014,0.0014,0.00140196,0.001402941372,0.0014035960779736
0.0015,0.0015,0.0015022500000000001,0.0015033766875000001,0.00150412837584375
0.0016,0.0016,0.00160256,0.0016038420479999999,0.0016046974304255999
0.0017000000000000001,0.0017000000000000001,0.00170289,0.0017043374565000001,0.00170530324772535
0.0018000000000000002,0.0018000000000000002,0.0018032400000000002,0.001804862916,0.0018059458337495997
0.0019,0.0019,0.00190361,0.0019054184295,0.0019066251945053503
0.002,0.002,0.002004,0.002006004,0.002007341336
0.0021000000000000003,0.0021000000000000003,0.00210441,0.0021066196305,0.00210809426424135
0.0022,0.0022,0.00220484,0.0022072653240000004,0.0022088839852376003
0.0023,0.0023,0.0023052899999999998,0.0023079410835,0.00230971050499735
0.0024000000000000002,0.0024000000000000002,0.0024057600000000003,0.0024086469120000007,0.002410573829529601
0.0025,0.0025,0.00250625,0.0025093828124999997,0.0025114739648437498
